route,week_of,cost_per_tonne_km,vs_own_history,vs_similar_routes,flagged,matched_note_id,reason
Ahmedabad-Mumbai,2024-01-01,2.495784199417673,,-3.94,No,,Cost is within the expected range based on -3.9% versus similar routes.
Ahmedabad-Mumbai,2024-01-08,2.5722313736269795,3.06,-4.77,No,,Cost is within the expected range based on 3.1% versus its own historical baseline and -4.8% versus similar routes.
Ahmedabad-Mumbai,2024-01-15,2.5653438871138845,1.24,-0.81,No,,Cost is within the expected range based on 1.2% versus its own historical baseline and -0.8% versus similar routes.
Ahmedabad-Mumbai,2024-01-22,2.6695451378459447,4.92,-0.25,No,,Cost is within the expected range based on 4.9% versus its own historical baseline and -0.2% versus similar routes.
Ahmedabad-Mumbai,2024-01-29,2.4929285864853075,-3.21,-6.18,No,,Cost is within the expected range based on -3.2% versus its own historical baseline and -6.2% versus similar routes.
Ahmedabad-Mumbai,2024-02-05,2.5443958960521584,-0.58,-4.92,No,,Cost is within the expected range based on -0.6% versus its own historical baseline and -4.9% versus similar routes.
Ahmedabad-Mumbai,2024-02-12,2.475244921036608,-3.19,-9.6,No,,Cost is within the expected range based on -3.2% versus its own historical baseline and -9.6% versus similar routes.
Ahmedabad-Mumbai,2024-02-19,2.4752293881372753,-2.74,-8.13,No,,Cost is within the expected range based on -2.7% versus its own historical baseline and -8.1% versus similar routes.
Ahmedabad-Mumbai,2024-02-26,2.5672602877553072,1.22,-2.62,No,,Cost is within the expected range based on 1.2% versus its own historical baseline and -2.6% versus similar routes.
Ahmedabad-Mumbai,2024-03-04,2.5223042809821674,-0.9,-2.03,No,,Cost is within the expected range based on -0.9% versus its own historical baseline and -2.0% versus similar routes.
Ahmedabad-Mumbai,2024-03-11,2.620870539208354,3.22,-3.63,No,,Cost is within the expected range based on 3.2% versus its own historical baseline and -3.6% versus similar routes.
Ahmedabad-Mumbai,2024-03-18,2.526483478351034,-0.77,-4.37,No,,Cost is within the expected range based on -0.8% versus its own historical baseline and -4.4% versus similar routes.
